pathway_id,pathway_name,n_genes,n_paths,mean_distance,min_distance
hsa04980,Cobalamin transport and metabolism,18,0,inf,inf
hsa04940,Type I diabetes mellitus,44,2,2.0,2.0
hsa00760,Nicotinate and nicotinamide metabolism,38,0,inf,inf
hsa00040,Pentose and glucuronate interconversions,36,0,inf,inf
hsa00770,Pantothenate and CoA biosynthesis,21,0,inf,inf
hsa03022,Basal transcription factors,44,0,inf,inf
hsa04710,Circadian rhythm,34,0,inf,inf
hsa04710,Circadian rhythm,34,0,inf,inf
hsa00603,Glycosphingolipid biosynthesis,16,0,inf,inf
hsa00790,Folate biosynthesis,28,0,inf,inf
hsa00511,Other glycan degradation,18,0,inf,inf
